x1      x2      x3      x4      x5      x6      x7      x8      x9      y
kkkkkkkkkkkkkkkkkkkkk
c       6       y       E       m       h       h       a       m       m
c       6       n       E       m       m       h       ma      m       m
c       6       n       E       m       h       h       ma      m       m
c       4       y       E       m       h       h       ma      l       h
c       6       n       E       m       m       m       ma      m       m
c       6       n       B       m       m       m       a       he      lo
c       6       n       E       m       m       h       ma      he      lo
s       4       n       B       sm      h       lo      ma      l       h
c       4       n       B       sm      h       lo      ma      m       m
c       4       n       B       sm      h       m       a       m       m
s       4       n       E       sm      h       lo      ma      l       h
s       4       n       E       m       m       m       ma      m       h
c       4       n       B       m       m       m       ma      m       m
s       4       y       E       sm      h       h       ma      m       h
s       4       n       B       sm      m       lo      ma      m       h
c       4       y       E       m       m       h       ma      m       m
c       6       n       E       m       m       h       a       m       m
c       4       n       E       m       m       h       a       m       m
s       4       n       E       sm      h       m       ma      m       h
c       4       n       E       sm      h       m       ma      m       h
c       4       n       B       sm      h       m       ma      m       m
