省份 入学 生年 生月 性别 院系 金额 还款
山东 2 1985 5 男 力学与工程学院 46 到期前还
黑龙江 2 1982 12 女 力学与工程学院 46 到期还
湖北 4 1986 2 女 力学与工程学院 54 到期未还
辽宁 4 1985 6 男 力学与工程学院 54 到期未还
河北 3 1984 3 男 力学与工程学院 48 到期还
安微 2 1984 12 男 力学与工程学院 46 到期未还
辽宁 4 1983 8 男 力学与工程学院 54 到期未还
辽宁 4 1984 11 男 力学与工程学院 45 到期未还
四川 3 1982 2 男 力学与工程学院 48 到期未还
辽宁 4 1985 1 男 力学与工程学院 54 到期未还
辽宁 4 1984 10 男 力学与工程学院 54 到期前还
河北 2 1982 9 男 力学与工程学院 46 到期还
江苏 2 1983 10 男 力学与工程学院 46 到期前还
辽宁 4 1984 11 男 力学与工程学院 54 到期未还
辽宁 3 1984 1 男 力学与工程学院 48 到期未还
辽宁 4 1985 11 男 力学与工程学院 54 到期未还
辽宁 4 1984 2 男 力学与工程学院 50 到期未还
辽宁 4 1985 3 男 力学与工程学院 50 到期未还
辽宁 4 1986 1 男 力学与工程学院 54 到期未还
陕西 3 1983 6 男 力学与工程学院 48 到期未还
四川 3 1982 12 男 力学与工程学院 48 到期未还
辽宁 4 1984 2 女 力学与工程学院 54 到期未还
辽宁 4 1985 2 男 力学与工程学院 54 到期未还
福建 2 1981 11 男 力学与工程学院 46 到期还
山西 2 1984 4 男 力学与工程学院 46 到期未还
内蒙古 4 1985 10 男 力学与工程学院 54 到期前还
辽宁 2 1983 5 男 力学与工程学院 46 到期前还
辽宁 4 1983 8 男 力学与工程学院 54 到期未还
辽宁 4 1985 11 女 力学与工程学院 54 到期未还
辽宁 4 1986 4 男 力学与工程学院 54 到期未还
广东 0 1983 2 女 力学与工程学院 46 到期未还
辽宁 4 1985 4 女 力学与工程学院 54 到期未还
山东 2 1983 8 男 力学与工程学院 46 到期还
辽宁 2 1982 4 男 力学与工程学院 46 到期未还
辽宁 4 1984 9 男 力学与工程学院 54 到期未还
安微 3 1984 12 男 力学与工程学院 48 到期未还
辽宁 4 1986 5 女 力学与工程学院 54 到期前还
辽宁 4 1985 4 女 力学与工程学院 54 到期未还
安微 4 1986 9 男 力学与工程学院 54 到期未还
辽宁 4 1986 2 女 力学与工程学院 54 到期未还
辽宁 4 1986 6 女 力学与工程学院 54 到期未还
辽宁 4 1984 6 男 力学与工程学院 54 到期未还
辽宁 2 1983 8 男 力学与工程学院 46 到期未还
辽宁 4 1985 9 男 力学与工程学院 54 到期未还
云南 4 1983 1 男 力学与工程学院 54 到期未还
湖南 3 1985 3 女 力学与工程学院 48 到期未还
辽宁 4 1984 11 男 力学与工程学院 54 到期未还
辽宁 4 1983 5 男 力学与工程学院 54 到期前还
辽宁 4 1985 11 女 力学与工程学院 54 到期未还
辽宁 4 1985 4 男 力学与工程学院 54 到期未还
辽宁 4 1982 5 男 力学与工程学院 54 到期前还
辽宁 4 1983 9 女 力学与工程学院 54 到期未还
吉林 0 1982 12 男 力学与工程学院 46 到期未还
辽宁 4 1985 8 男 力学与工程学院 54 到期未还
河北 4 1986 1 女 力学与工程学院 54 到期还
四川 2 1981 10 男 力学与工程学院 46 到期前还
山西 3 1984 4 女 力学与工程学院 48 到期未还
辽宁 2 1982 10 男 力学与工程学院 46 到期前还
辽宁 4 1987 3 男 力学与工程学院 54 到期未还
河南 3 1982 9 男 力学与工程学院 48 到期未还
辽宁 4 1985 9 男 力学与工程学院 54 到期未还
河北 3 1984 10 女 力学与工程学院 48 到期前还
辽宁 3 1983 8 女 力学与工程学院 48 到期未还
辽宁 3 1984 10 男 力学与工程学院 48 到期前还
辽宁 3 1983 7 男 力学与工程学院 48 到期未还
辽宁 3 1984 12 男 力学与工程学院 48 到期未还
辽宁 3 1983 9 男 力学与工程学院 48 到期未还
辽宁 4 1984 9 男 力学与工程学院 50 到期未还
辽宁 2 1983 7 女 力学与工程学院 46 到期未还
四川 2 1983 3 女 力学与工程学院 46 到期未还
吉林 2 1983 8 女 力学与工程学院 46 到期未还
辽宁 4 1984 4 男 土木建筑工程学院 54 到期未还
辽宁 3 1984 12 男 土木建筑工程学院 48 到期未还
辽宁 4 1985 10 女 土木建筑工程学院 54 到期前还
辽宁 3 1984 7 女 土木建筑工程学院 48 到期未还
辽宁 3 1984 11 男 土木建筑工程学院 48 到期未还
辽宁 4 1985 12 男 土木建筑工程学院 54 到期未还
辽宁 3 1984 4 女 土木建筑工程学院 48 到期未还
辽宁 4 1985 4 男 土木建筑工程学院 54 到期未还
辽宁 4 1985 1 男 土木建筑工程学院 60 到期前还
辽宁 4 1985 3 男 土木建筑工程学院 54 到期未还
辽宁 4 1985 1 男 土木建筑工程学院 54 到期未还
辽宁 3 1985 4 女 土木建筑工程学院 48 到期未还
辽宁 3 1983 3 男 土木建筑工程学院 48 到期未还
辽宁 3 1984 3 男 土木建筑工程学院 48 到期未还
辽宁 4 1985 9 男 土木建筑工程学院 54 到期未还
辽宁 3 1984 11 女 土木建筑工程学院 48 到期未还
辽宁 4 1984 5 男 土木建筑工程学院 54 到期前还
天津 4 1985 6 男 土木建筑工程学院 60 到期前还
辽宁 3 1983 7 男 土木建筑工程学院 48 到期未还
辽宁 2 1982 10 男 土木建筑工程学院 46 到期前还
辽宁 3 1982 11 女 土木建筑工程学院 48 到期未还
辽宁 4 1984 10 女 土木建筑工程学院 54 到期前还
辽宁 4 1983 4 女 土木建筑工程学院 60 到期前还
辽宁 4 1985 12 男 土木建筑工程学院 52 到期未还
辽宁 4 1985 2 男 土木建筑工程学院 54 到期未还
辽宁 4 1983 6 男 土木建筑工程学院 54 到期未还
辽宁 4 1986 2 女 土木建筑工程学院 54 到期未还
辽宁 4 1984 4 男 土木建筑工程学院 54 到期未还
